#options: 1280x720 fps=25/1 timebase=1/25 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=0.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:38 out:38 type:P dur:2 cpbdur:2 q:28.52 tex:47385 mv:11123 misc:2172 imb:153 pmb:1171 smb:2276 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:30.52 tex:616 mv:106 misc:566 imb:0 pmb:48 smb:3552 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:30.18 tex:103933 mv:17244 misc:1255 imb:765 pmb:942 smb:1893 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:30.35 tex:33234 mv:16053 misc:1473 imb:241 pmb:922 smb:2437 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:30.43 tex:18229 mv:13871 misc:1300 imb:149 pmb:744 smb:2707 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:30.26 tex:19399 mv:13081 misc:1504 imb:151 pmb:778 smb:2671 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:30.83 tex:2411 mv:435 misc:1202 imb:0 pmb:205 smb:3395 d:- ref:0 ;
in:47 out:45 type:P dur:2 cpbdur:2 q:30.54 tex:149191 mv:21194 misc:2447 imb:678 pmb:2145 smb:777 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:30.63 tex:20307 mv:12256 misc:1629 imb:100 pmb:796 smb:2704 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:30.73 tex:17829 mv:12909 misc:1590 imb:118 pmb:821 smb:2661 d:- ref:0 ;
in:50 out:48 type:P dur:2 cpbdur:2 q:31.42 tex:85358 mv:15887 misc:2467 imb:623 pmb:1226 smb:1751 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:31.13 tex:17256 mv:11616 misc:1368 imb:91 pmb:776 smb:2733 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:30.83 tex:1740 mv:1114 misc:1234 imb:3 pmb:285 smb:3312 d:- ref:0 ;
in:53 out:51 type:P dur:2 cpbdur:2 q:31.56 tex:122213 mv:16931 misc:2360 imb:616 pmb:1245 smb:1739 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:31.52 tex:18902 mv:11084 misc:1446 imb:125 pmb:716 smb:2759 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:31.47 tex:23790 mv:11887 misc:1331 imb:213 pmb:665 smb:2722 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:32.19 tex:101300 mv:14926 misc:2438 imb:323 pmb:1310 smb:1967 d:- ref:0 ;
